,Service Name,Transport Protocol,Description
9952,apc-9952,"tcp, udp",APC 9952
9953,acis,"tcp, udp",9953
9954,hinp,"tcp, udp",HaloteC Instrument Network Protocol
9955,"alljoyn-mcm, alljoyn-stm","tcp, udp","Contact Port for AllJoyn standard messaging, Contact Port for AllJoyn multiplexed constrained messaging"
9956,alljoyn,"tcp, udp",Alljoyn Name Service
9966,odnsp,"tcp, udp",OKI Data Network Setting Protocol
9978,xybrid-rt,"tcp, udp",XYBRID RT Server
9979,visweather,"tcp, udp",Valley Information Systems Weather station data
9981,pumpkindb,"tcp, udp",Event sourcing database engine with a built-in programming language
9987,dsm-scm-target,"tcp, udp",DSM/SCM Target Interface
9988,nsesrvr,"tcp, udp",Software Essentials Secure HTTP server
9990,osm-appsrvr,"tcp, udp",OSM Applet Server
9991,osm-oev,"tcp, udp",OSM Event Server
9992,palace-1,"tcp, udp",OnLive-1
9993,palace-2,"tcp, udp",OnLive-2
9994,palace-3,"tcp, udp",OnLive-3
9995,palace-4,"tcp, udp",Palace-4
9996,palace-5,"tcp, udp",Palace-5
9997,palace-6,"tcp, udp",Palace-6
9998,distinct32,"tcp, udp",Distinct32
9999,distinct,"tcp, udp",distinct
10000,ndmp,"tcp, udp",Network Data Management Protocol
10001,scp-config,"tcp, udp",SCP Configuration
10002,documentum,"tcp, udp",EMC-Documentum Content Server Product
10003,"documentum_s, documentum-s","tcp, udp","EMC-Documentum Content Server Product, EMC-Documentum Content Server Product
IANA assigned this well-formed service name as a replacement for ""documentum_s""."
10004,emcrmirccd,"tcp, udp",EMC Replication Manager Client
10005,emcrmird,"tcp, udp",EMC Replication Manager Server
10006,netapp-sync,"tcp, udp",Sync replication protocol among different NetApp platforms
10007,mvs-capacity,"tcp, udp",MVS Capacity
10008,octopus,"tcp, udp",Octopus Multiplexer
10009,swdtp-sv,"tcp, udp",Systemwalker Desktop Patrol
10010,rxapi,"tcp, udp",ooRexx rxapi services
10020,abb-hw,"tcp, udp",Hardware configuration and maintenance
10023,cefd-vmp,"tcp, udp",Comtech EF-Data's Vipersat Management Protocol
10050,zabbix-agent,"tcp, udp",Zabbix Agent
10051,zabbix-trapper,"tcp, udp",Zabbix Trapper
10055,qptlmd,"tcp, udp",Quantapoint FLEXlm Licensing Service
10080,amanda,"tcp, udp",Amanda
10081,famdc,"tcp, udp",FAM Archive Server
10100,itap-ddtp,"tcp, udp",VERITAS ITAP DDTP
10101,ezmeeting-2,"tcp, udp",eZmeeting
10102,ezproxy-2,"tcp, udp",eZproxy
10103,ezrelay,"tcp, udp",eZrelay
10104,swdtp,"tcp, udp",Systemwalker Desktop Patrol
10107,bctp-server,"tcp, udp","server, VERITAS BCTP"
10110,nmea-0183,"tcp, udp",NMEA-0183 Navigational Data
10111,nmea-onenet,"tcp, udp",NMEA OneNet multicast messaging
10113,netiq-endpoint,"tcp, udp",NetIQ Endpoint
10114,netiq-qcheck,"tcp, udp",NetIQ Qcheck
10115,netiq-endpt,"tcp, udp",NetIQ Endpoint
10116,netiq-voipa,"tcp, udp",NetIQ VoIP Assessor
10117,iqrm,"tcp, udp",NetIQ IQCResource Managament Svc
10125,cimple,"tcp, udp",HotLink CIMple REST API
10128,bmc-perf-sd,"tcp, udp",BMC-PERFORM-SERVICE DAEMON
10129,bmc-gms,"tcp, udp",BMC General Manager Server
10160,qb-db-server,"tcp, udp",QB Database Server
10161,"snmptls, snmpdtls","tcp, udp","SNMP-DTLS, SNMP-TLS"
10162,"snmptls-trap, snmpdtls-trap","tcp, udp","SNMP-Trap-DTLS, SNMP-Trap-TLS"
10200,trisoap,"tcp, udp",Trigence AE Soap Service
10201,"rsms, rscs","tcp, udp","Remote Server Control and Test Service, Remote Server Management Service"
10252,apollo-relay,"tcp, udp",Apollo Relay Port
10253,eapol-relay,"tcp, udp",Relay of EAPOL frames
10260,axis-wimp-port,"tcp, udp",Axis WIMP Port
10261,tile-ml,"tcp, udp",Tile remote machine learning
10288,blocks,"tcp, udp",Blocks
10439,bngsync,"tcp, udp",BalanceNG session table synchronization protocol
10443,cirrossp,"tcp, udp",CirrosSP Workstation Communication
10500,hip-nat-t,"tcp, udp",HIP NAT-Traversal
10540,MOS-lower,"tcp, udp",MOS Media Object Metadata Port
10541,MOS-upper,"tcp, udp",MOS Running Order Port
10542,MOS-aux,"tcp, udp",MOS Low Priority Port
10543,MOS-soap,"tcp, udp",MOS SOAP Default Port
10544,MOS-soap-opt,"tcp, udp",MOS SOAP Optional Port
10548,serverdocs,"tcp, udp",Apple Document Sharing Service
10631,printopia,"tcp, udp",Printopia Serve
10800,gap,"tcp, udp",Gestor de Acaparamiento para Pocket PCs
10805,lpdg,"tcp, udp",LUCIA Pareja Data Group
10809,nbd,"tcp, udp",Network Block Device
10810,nmc-disc,"tcp, udp",Nuance Mobile Care Discovery
10860,helix,"tcp, udp",Helix Client/Server
10880,bveapi,"tcp, udp",BVEssentials HTTP API
10933,octopustentacle,"tcp, udp",Listen port used by the Octopus Deploy Tentacle deployment agent
10990,rmiaux,"tcp, udp",Auxiliary RMI Port
11000,irisa,"tcp, udp",IRISA
11001,metasys,"tcp, udp",Metasys
11095,weave,"tcp, udp",Nest device-to-device and device-to-service application protocol
11103,origo-sync,"tcp, udp",OrigoDB Server Sync Interface
11104,netapp-icmgmt,"tcp, udp",NetApp Intercluster Management
11105,netapp-icdata,"tcp, udp",NetApp Intercluster Data
11106,sgi-lk,"tcp, udp",SGI LK Licensing service
11108,myq-termlink,"tcp, udp",Hardware Terminals Discovery and Low-Level Communication Protocol
11109,sgi-dmfmgr,"tcp, udp",Data migration facility Manager (DMF) is a browser based interface to DMF
11110,sgi-soap,"tcp, udp",Data migration facility (DMF) SOAP is a web server protocol to support remote access to DMF
11111,vce,"tcp, udp",Viral Computing Environment (VCE)
11112,dicom,"tcp, udp",DICOM
11161,suncacao-snmp,"tcp, udp",sun cacao snmp access point
11162,suncacao-jmxmp,"tcp, udp",sun cacao JMX-remoting access point
11163,suncacao-rmi,"tcp, udp",sun cacao rmi registry access point
11164,suncacao-csa,"tcp, udp",sun cacao command-streaming access point
11165,suncacao-websvc,"tcp, udp",sun cacao web service access point
11171,snss,"tcp, udp",Surgical Notes Security Service Discovery (SNSS)
11172,oemcacao-jmxmp,"tcp, udp",OEM cacao JMX-remoting access point
11173,t5-straton,"tcp, udp",Straton Runtime Programing
11174,oemcacao-rmi,"tcp, udp",OEM cacao rmi registry access point
11175,oemcacao-websvc,"tcp, udp",OEM cacao web service access point
11201,smsqp,"tcp, udp",smsqp
11202,dcsl-backup,"tcp, udp",DCSL Network Backup Services
11208,wifree,"tcp, udp",WiFree Service
11211,memcache,"tcp, udp",Memory cache service
11235,xcompute,"sctp, tcp, udp",numerical systems messaging
11319,imip,"tcp, udp",IMIP
11320,imip-channels,"tcp, udp",IMIP Channels Port
11321,arena-server,"tcp, udp",Arena Server Listen
11367,atm-uhas,"tcp, udp",ATM UHAS
11371,hkp,"tcp, udp",OpenPGP HTTP Keyserver
11430,lsdp,"tcp, udp",Lenbrook Service Discovery Protocol
11431,nan,,Unassigned
11432,nan,,Unassigned
11433,nan,,Unassigned
11434,nan,,Unassigned
11435,nan,,Unassigned
11436,nan,,Unassigned
11437,nan,,Unassigned
11438,nan,,Unassigned
11439,nan,,Unassigned
11440,nan,,Unassigned
11441,nan,,Unassigned
11442,nan,,Unassigned
11443,nan,,Unassigned
11444,nan,,Unassigned
11445,nan,,Unassigned
11446,nan,,Unassigned
11447,nan,,Unassigned
11448,nan,,Unassigned
11449,nan,,Unassigned
11450,nan,,Unassigned
11451,nan,,Unassigned
11452,nan,,Unassigned
11453,nan,,Unassigned
11454,nan,,Unassigned
11455,nan,,Unassigned
11456,nan,,Unassigned
11457,nan,,Unassigned
11458,nan,,Unassigned
11459,nan,,Unassigned
11460,nan,,Unassigned
11461,nan,,Unassigned
11462,nan,,Unassigned
11463,nan,,Unassigned
11464,nan,,Unassigned
11465,nan,,Unassigned
11466,nan,,Unassigned
11467,nan,,Unassigned
11468,nan,,Unassigned
11469,nan,,Unassigned
11470,nan,,Unassigned
11471,nan,,Unassigned
11472,nan,,Unassigned
11473,nan,,Unassigned
11474,nan,,Unassigned
11475,nan,,Unassigned
11476,nan,,Unassigned
11477,nan,,Unassigned
11478,nan,,Unassigned
11479,nan,,Unassigned
11480,nan,,Unassigned
11481,nan,,Unassigned
11482,nan,,Unassigned
11483,nan,,Unassigned
11484,nan,,Unassigned
11485,nan,,Unassigned
11486,nan,,Unassigned
11487,nan,,Unassigned
11488,nan,,Unassigned
11489,asgcypresstcps,"tcp, udp",ASG Cypress Secure Only
11600,tempest-port,"tcp, udp",Tempest Protocol Port
11623,emc-xsw-dconfig,"tcp, udp",EMC XtremSW distributed config
11624,nan,,Unassigned
11625,nan,,Unassigned
11626,nan,,Unassigned
11627,nan,,Unassigned
11628,nan,,Unassigned
11629,nan,,Unassigned
11630,nan,,Unassigned
11631,nan,,Unassigned
11632,nan,,Unassigned
11633,nan,,Unassigned
11634,nan,,Unassigned
11635,nan,,Unassigned
11636,nan,,Unassigned
11637,nan,,Unassigned
11638,nan,,Unassigned
11639,nan,,Unassigned
11640,nan,,Unassigned
11641,nan,,Unassigned
11642,nan,,Unassigned
11643,nan,,Unassigned
11644,nan,,Unassigned
11645,nan,,Unassigned
11646,nan,,Unassigned
11647,nan,,Unassigned
11648,nan,,Unassigned
11649,nan,,Unassigned
11650,nan,,Unassigned
11651,nan,,Unassigned
11652,nan,,Unassigned
11653,nan,,Unassigned
11654,nan,,Unassigned
11655,nan,,Unassigned
11656,nan,,Unassigned
11657,nan,,Unassigned
11658,nan,,Unassigned
11659,nan,,Unassigned
11660,nan,,Unassigned
11661,nan,,Unassigned
11662,nan,,Unassigned
11663,nan,,Unassigned
11664,nan,,Unassigned
11665,nan,,Unassigned
11666,nan,,Unassigned
11667,nan,,Unassigned
11668,nan,,Unassigned
11669,nan,,Unassigned
11670,nan,,Unassigned
11671,nan,,Unassigned
11672,nan,,Unassigned
11673,nan,,Unassigned
11674,nan,,Unassigned
11675,nan,,Unassigned
11676,nan,,Unassigned
11677,nan,,Unassigned
11678,nan,,Unassigned
11679,nan,,Unassigned
11680,nan,,Unassigned
11681,nan,,Unassigned
11682,nan,,Unassigned
11683,nan,,Unassigned
11684,nan,,Unassigned
11685,nan,,Unassigned
11686,nan,,Unassigned
11687,nan,,Unassigned
11688,nan,,Unassigned
11689,nan,,Unassigned
11690,nan,,Unassigned
11691,nan,,Unassigned
11692,nan,,Unassigned
11693,nan,,Unassigned
11694,nan,,Unassigned
11695,nan,,Unassigned
11696,nan,,Unassigned
11697,nan,,Unassigned
11698,nan,,Unassigned
11699,nan,,Unassigned
11700,nan,,Unassigned
11701,nan,,Unassigned
11702,nan,,Unassigned
11703,nan,,Unassigned
11704,nan,,Unassigned
11705,nan,,Unassigned
11706,nan,,Unassigned
11707,nan,,Unassigned
11708,nan,,Unassigned
11709,nan,,Unassigned
11710,nan,,Unassigned
11711,nan,,Unassigned
11712,nan,,Unassigned
11713,nan,,Unassigned
11714,nan,,Unassigned
11715,nan,,Unassigned
11716,nan,,Unassigned
11717,nan,,Unassigned
11718,nan,,Unassigned
11719,nan,,Unassigned
11720,h323callsigalt,"tcp, udp",H.323 Call Control Signalling Alternate
11723,emc-xsw-dcache,"tcp, udp",EMC XtremSW distributed cache
11751,intrepid-ssl,"tcp, udp",Intrepid SSL
11796,"lanschool, lanschool-mpt","tcp, udp","LanSchool, Lanschool Multipoint"
11876,xoraya,"tcp, udp",X2E Xoraya Multichannel protocol
11877,x2e-disc,"tcp, udp",X2E service discovery protocol
11967,sysinfo-sp,"tcp, udp",SysInfo Service Protocol
11971,tibsd,"tcp, udp",TiBS Service
11997,wmereceiving,sctp,WorldMailExpress
11998,wmedistribution,sctp,WorldMailExpress
11999,wmereporting,sctp,WorldMailExpress
12000,entextxid,"tcp, udp",IBM Enterprise Extender SNA XID Exchange
12001,entextnetwk,"tcp, udp",IBM Enterprise Extender SNA COS Network Priority
12002,entexthigh,"tcp, udp",IBM Enterprise Extender SNA COS High Priority
12003,entextmed,"tcp, udp",IBM Enterprise Extender SNA COS Medium Priority
12004,entextlow,"tcp, udp",IBM Enterprise Extender SNA COS Low Priority
12005,dbisamserver1,"tcp, udp",DBISAM Database Server - Regular
12006,dbisamserver2,"tcp, udp",DBISAM Database Server - Admin
12007,accuracer,"tcp, udp",Accuracer Database System Server
12008,accuracer-dbms,"tcp, udp",Accuracer Database System Admin
12009,ghvpn,"tcp, udp",Green Hills VPN
12010,edbsrvr,"tcp, udp",ElevateDB Server
12012,vipera,"tcp, udp",Vipera Messaging Service
12013,vipera-ssl,"tcp, udp",Vipera Messaging Service over SSL Communication
12109,rets-ssl,"tcp, udp",RETS over SSL
12121,nupaper-ss,"tcp, udp",NuPaper Session Service
12168,cawas,"tcp, udp",CA Web Access Service
12172,hivep,"tcp, udp",HiveP
12300,linogridengine,"tcp, udp",LinoGrid Engine
12302,rads,"tcp, udp","Remote Administration Daemon (RAD) is a system service that offers secure, remote, programmatic access to Solaris system configuration and run-time state"
12321,warehouse-sss,"tcp, udp",Warehouse Monitoring Syst SSS
12322,warehouse,"tcp, udp",Warehouse Monitoring Syst
12345,italk,"tcp, udp",Italk Chat System
12546,carb-repl-ctrl,"tcp, udp",Carbonite Server Replication Control
12753,tsaf,"tcp, udp",tsaf port
12865,netperf,"tcp, udp",control port for the netperf benchmark
13160,i-zipqd,"tcp, udp",I-ZIPQD
13216,bcslogc,"tcp, udp",Black Crow Software application logging
13217,rs-pias,"tcp, udp",R&S Proxy Installation Assistant Service
13218,"emc-vcas-tcp, emc-vcas-udp","tcp, udp","EMC Virtual CAS Service, EMV Virtual CAS Service Discovery"
13223,powwow-client,"tcp, udp",PowWow Client
13224,powwow-server,"tcp, udp",PowWow Server
13400,"doip-disc, doip-data","tcp, udp","DoIP Data, DoIP Discovery"
13720,bprd,"tcp, udp",BPRD Protocol (VERITAS NetBackup)
13721,bpdbm,"tcp, udp",BPDBM Protocol (VERITAS NetBackup)
13722,bpjava-msvc,"tcp, udp",BP Java MSVC Protocol
13724,vnetd,"tcp, udp",Veritas Network Utility
13782,bpcd,"tcp, udp",VERITAS NetBackup
13783,vopied,"tcp, udp",VOPIED Protocol
13785,nbdb,"tcp, udp",NetBackup Database
13786,nomdb,"tcp, udp",Veritas-nomdb
13818,dsmcc-config,"tcp, udp",DSMCC Config
13819,dsmcc-session,"tcp, udp",DSMCC Session Messages
13820,dsmcc-passthru,"tcp, udp",DSMCC Pass-Thru Messages
13821,dsmcc-download,"tcp, udp",DSMCC Download Protocol
13822,dsmcc-ccp,"tcp, udp",DSMCC Channel Change Protocol
13823,bmdss,"tcp, udp",Blackmagic Design Streaming Server
13832,a-trust-rpc,"tcp, udp",Certificate Management and Issuing
13894,ucontrol,"tcp, udp",Ultimate Control communication protocol
13929,dta-systems,"tcp, udp",D-TA SYSTEMS
13930,medevolve,"tcp, udp",MedEvolve Port Requester
14000,scotty-ft,"tcp, udp",SCOTTY High-Speed Filetransfer
14001,sua,"sctp, tcp, udp","De-Registered, SUA"
14002,scotty-disc,"tcp, udp",Discovery of a SCOTTY hardware codec board
14033,sage-best-com1,"tcp, udp",sage Best! Config Server 1
14034,sage-best-com2,"tcp, udp",sage Best! Config Server 2
14141,vcs-app,"tcp, udp",VCS Application
14142,icpp,"tcp, udp",IceWall Cert Protocol
14143,icpps,"tcp, udp",IceWall Cert Protocol over TLS
14145,gcm-app,"tcp, udp",GCM Application
14149,vrts-tdd,"tcp, udp",Veritas Traffic Director
14150,vcscmd,"tcp, udp",Veritas Cluster Server Command Server
14154,vad,"tcp, udp",Veritas Application Director
14250,cps,"tcp, udp",Fencing Server
14414,ca-web-update,"tcp, udp",CA eTrust Web Update Service
14500,xpra,"tcp, udp",xpra network protocol
14936,hde-lcesrvr-1,"tcp, udp",hde-lcesrvr-1
14937,hde-lcesrvr-2,"tcp, udp",hde-lcesrvr-2
15000,hydap,"tcp, udp",Hypack Data Aquisition
15002,onep-tls,"tcp, udp",Open Network Environment TLS
15118,v2g-secc,"tcp, udp",v2g Supply Equipment Communication Controller Discovery Protocol
15345,xpilot,"tcp, udp",XPilot Contact Port
15363,3link,"tcp, udp",3Link Negotiation
15555,cisco-snat,"tcp, udp",Cisco Stateful NAT
15660,bex-xr,"tcp, udp",Backup Express Restore Server
15740,ptp,"tcp, udp",Picture Transfer Protocol
15998,2ping,"tcp, udp",2ping Bi-Directional Ping Service
15999,programmar,"tcp, udp",ProGrammar Enterprise
16000,fmsas,"tcp, udp",Administration Server Access
16001,fmsascon,"tcp, udp",Administration Server Connector
16002,gsms,"tcp, udp",GoodSync Mediation Service
16003,alfin,"tcp, udp",Automation and Control by REGULACE.ORG
16020,jwpc,"tcp, udp",Filemaker Java Web Publishing Core
16021,jwpc-bin,"tcp, udp",Filemaker Java Web Publishing Core Binary
16161,sun-sea-port,"tcp, udp",Solaris SEA Port
16162,solaris-audit,"tcp, udp",Solaris Audit - secure remote audit log
16309,etb4j,"tcp, udp",etb4j
16310,pduncs,"tcp, udp","Update Notification, Policy Distribute"
16311,pdefmns,"tcp, udp",Policy definition and update management
16360,netserialext1,"tcp, udp",Network Serial Extension Ports One
16361,netserialext2,"tcp, udp",Network Serial Extension Ports Two
16367,netserialext3,"tcp, udp",Network Serial Extension Ports Three
16368,netserialext4,"tcp, udp",Network Serial Extension Ports Four
16384,connected,"tcp, udp",Connected Corp
16385,rdgs,"tcp, udp",Reliable Datagram Sockets
16619,xoms,"tcp, udp",X509 Objects Management Service
16665,axon-tunnel,"tcp, udp",Reliable multipath data transport for high latencies
16666,vtp,"tcp, udp",Vidder Tunnel Protocol
16789,cadsisvr,"tcp, udp",This server provides callable services to mainframe External Security Managers from any TCP/IP platform
16900,newbay-snc-mc,"tcp, udp",Newbay Mobile Client Update Service
16950,sgcip,"tcp, udp",Simple Generic Client Interface Protocol
16991,intel-rci-mp,"tcp, udp",INTEL-RCI-MP
16992,amt-soap-http,"tcp, udp",Intel(R) AMT SOAP/HTTP
16993,amt-soap-https,"tcp, udp",Intel(R) AMT SOAP/HTTPS
16994,amt-redir-tcp,"tcp, udp",Intel(R) AMT Redirection/TCP
16995,amt-redir-tls,"tcp, udp",Intel(R) AMT Redirection/TLS
17007,isode-dua,"tcp, udp",nan
17010,ncpu,"tcp, udp",Plan 9 cpu port
17184,vestasdlp,"tcp, udp",Vestas Data Layer Protocol
17185,soundsvirtual,"tcp, udp",Sounds Virtual
17219,chipper,"tcp, udp",Chipper
17220,avtp,"tcp, udp",IEEE 1722 Transport Protocol for Time Sensitive Applications
17221,avdecc,"tcp, udp","Enumeration, and Control, Connection management, IEEE 1722.1 AVB Discovery"
17222,cpsp,"tcp, udp",Control Plane Synchronization Protocol (SPSP)
17223,isa100-gci,"tcp, udp",ISA100 GCI is a service utilizing a common interface between an ISA100 Wireless gateway and a client application
17224,trdp-pd,"tcp, udp",Train Realtime Data Protocol (TRDP) Process Data
17225,trdp-md,"tcp, udp",Train Realtime Data Protocol (TRDP) Message Data
17234,integrius-stp,"tcp, udp",Integrius Secure Tunnel Protocol
17235,ssh-mgmt,"tcp, udp",SSH Tectia Manager
17500,"db-lsp-disc, db-lsp","tcp, udp","Dropbox LanSync Protocol, Dropbox LanSync Discovery"
17555,ailith,"tcp, udp",Ailith management of routers
17729,ea,"tcp, udp",Eclipse Aviation
17754,zep,"tcp, udp",Encap. ZigBee Packets
17755,zigbee-ip,"tcp, udp",ZigBee IP Transport Service
17756,zigbee-ips,"tcp, udp",ZigBee IP Transport Secure Service
17777,sw-orion,"tcp, udp",SolarWinds Orion
18000,biimenu,"tcp, udp","Beckman Instruments, Inc."
18104,radpdf,"tcp, udp",RAD PDF Service
18136,racf,"tcp, udp",z/OS Resource Access Control Facility
18181,opsec-cvp,"tcp, udp",OPSEC CVP
18182,opsec-ufp,"tcp, udp",OPSEC UFP
18183,opsec-sam,"tcp, udp",OPSEC SAM
18184,opsec-lea,"tcp, udp",OPSEC LEA
18185,opsec-omi,"tcp, udp",OPSEC OMI
18186,ohsc,"tcp, udp","Occupational Health SC, Occupational Health Sc"
18187,opsec-ela,"tcp, udp",OPSEC ELA
18241,checkpoint-rtm,"tcp, udp",Check Point RTM
18242,iclid,"tcp, udp",Checkpoint router monitoring
18243,clusterxl,"tcp, udp",Checkpoint router state backup
18262,gv-pf,"tcp, udp",GV NetConfig Service
18463,ac-cluster,"tcp, udp",AC Cluster
18516,heythings,"tcp, udp",HeyThings Device communicate service
18634,rds-ib,"tcp, udp",Reliable Datagram Service
18635,rds-ip,"tcp, udp",Reliable Datagram Service over IP
18668,"vdmmesh-disc, vdmmesh","tcp, udp",Manufacturing Execution Systems Mesh Communication
18769,ique,"tcp, udp",IQue Protocol
18881,infotos,"tcp, udp",Infotos
18888,apc-necmp,"tcp, udp",APCNECMP
19000,igrid,"tcp, udp",iGrid Server
19007,scintilla,"tcp, udp",Scintilla protocol for device services
19020,j-link,"tcp, udp",J-Link TCP/IP Protocol
19191,opsec-uaa,"tcp, udp",OPSEC UAA
19194,ua-secureagent,"tcp, udp",UserAuthority SecureAgent
19220,"cora, cora-disc","tcp, udp","Client Connection Management and Data Exchange Service, Discovery for Client Connection Management and Data Exchange Service"
19283,keysrvr,"tcp, udp",Key Server for SASSAFRAS
19315,keyshadow,"tcp, udp",Key Shadow for SASSAFRAS
19398,mtrgtrans,"tcp, udp",mtrgtrans
19410,hp-sco,"tcp, udp",hp-sco
19411,hp-sca,"tcp, udp",hp-sca
19412,hp-sessmon,"tcp, udp",HP-SESSMON
19539,fxuptp,"tcp, udp",FXUPTP
19540,sxuptp,"tcp, udp",SXUPTP
19541,jcp,"tcp, udp",JCP Client
19788,mle,"tcp, udp",Mesh Link Establishment
19790,faircom-db,"tcp, udp",FairCom Database
19998,iec-104-sec,"tcp, udp",IEC 60870-5-104 process control - secure
19999,dnp-sec,"sctp, tcp, udp","Distributed Network Protocol - secured, Distributed Network Protocol - Secure"
20000,dnp,"sctp, tcp, udp","DNP, Distributed Network Protocol"
20001,microsan,"tcp, udp",MicroSAN
20002,commtact-http,"tcp, udp",Commtact HTTP
20003,commtact-https,"tcp, udp",Commtact HTTPS
20005,openwebnet,"tcp, udp",OpenWebNet protocol for electric network
20012,ss-idi-disc,"tcp, udp",Samsung Interdevice Interaction discovery
20013,ss-idi,"tcp, udp",Samsung Interdevice Interaction
20014,opendeploy,"tcp, udp",OpenDeploy Listener
20034,"nburn-id, nburn_id","tcp, udp","NetBurner ID Port
IANA assigned this well-formed service name as a replacement for ""nburn_id""., NetBurner ID Port"
20046,tmophl7mts,"tcp, udp",TMOP HL7 Message Transfer Service
20048,mountd,"tcp, udp",NFS mount protocol
20049,nfsrdma,"sctp, tcp, udp",Network File System (NFS) over RDMA
20057,avesterra,"tcp, udp",AvesTerra Hypergraph Transfer Protocol (HGTP)
20167,tolfab,"tcp, udp",TOLfab Data Change
20202,ipdtp-port,"tcp, udp",IPD Tunneling Port
20222,ipulse-ics,"tcp, udp",iPulse-ICS
20480,emwavemsg,"tcp, udp",emWave Message Service
20670,track,"tcp, udp",Track
20810,crtech-nlm,"tcp, udp",CRTech NLM
20999,athand-mmp,"tcp, udp","At Hand MMP, AT Hand MMP"
21000,irtrans,"tcp, udp",IRTrans Control
21010,notezilla-lan,"tcp, udp",Notezilla.Lan Server
21212,trinket-agent,"tcp, udp",Distributed artificial intelligence
21213,cohesity-agent,"tcp, udp",Cohesity backup agents
21221,aigairserver,"tcp, udp",Services for Air Server
21553,rdm-tfs,"tcp, udp",Raima RDM TFS
21554,dfserver,"tcp, udp",MineScape Design File Server
21590,vofr-gateway,"tcp, udp",VoFR Gateway
21800,tvpm,"tcp, udp",TVNC Pro Multiplexing
21801,sal,tcp,Safe AutoLogon
21845,webphone,"tcp, udp",webphone
21846,netspeak-is,"tcp, udp",NetSpeak Corp. Directory Services
21847,netspeak-cs,"tcp, udp",NetSpeak Corp. Connection Services
21848,netspeak-acd,"tcp, udp",NetSpeak Corp. Automatic Call Distribution
21849,netspeak-cps,"tcp, udp",NetSpeak Corp. Credit Processing System
22000,snapenetio,"tcp, udp",SNAPenetIO
22001,optocontrol,"tcp, udp",OptoControl
22002,optohost002,"tcp, udp",Opto Host Port 2
22003,optohost003,"tcp, udp",Opto Host Port 3
22004,optohost004,"tcp, udp",Opto Host Port 4
22005,optohost004,"tcp, udp",Opto Host Port 5
22125,dcap,"tcp, udp",dCache Access Protocol
22128,gsidcap,"tcp, udp",GSI dCache Access Protocol
22222,easyengine,"tcp, udp",EasyEngine is CLI tool to manage WordPress Sites on Nginx server
22273,wnn6,"tcp, udp",wnn6
22305,cis,"tcp, udp",CompactIS Tunnel
22333,showcockpit-net,"tcp, udp",ShowCockpit Networking
22335,"shrewd-control, shrewd-stream","tcp, udp","Initium Labs Security and Automation Streaming, Initium Labs Security and Automation Control"
22343,cis-secure,"tcp, udp",CompactIS Secure Tunnel
22347,wibukey,"tcp, udp",WibuKey Standard WkLan
22350,codemeter,"tcp, udp",CodeMeter Standard
22351,codemeter-cmwan,"tcp, udp",TPC/IP requests of copy protection software to a server
22537,caldsoft-backup,"tcp, udp",CaldSoft Backup server file transfer
22555,"vocaltec-wconf, vocaltec-phone","tcp, udp","Vocaltec Internet Phone, Vocaltec Web Conference"
22763,talikaserver,"tcp, udp",Talika Main Server
22800,aws-brf,"tcp, udp",Telerate Information Platform LAN
22951,brf-gw,"tcp, udp",Telerate Information Platform WAN
23000,inovaport1,"tcp, udp",Inova LightLink Server Type 1
23001,inovaport2,"tcp, udp",Inova LightLink Server Type 2
23002,inovaport3,"tcp, udp",Inova LightLink Server Type 3
23003,inovaport4,"tcp, udp",Inova LightLink Server Type 4
23004,inovaport5,"tcp, udp",Inova LightLink Server Type 5
23005,inovaport6,"tcp, udp",Inova LightLink Server Type 6
23053,gntp,"tcp, udp",Generic Notification Transport Protocol
23272,s102,"tcp, udp",S102 application
23294,"5afe-disc, 5afe-dir","tcp, udp","5AFE SDN Directory, 5AFE SDN Directory discovery"
23333,elxmgmt,"tcp, udp",Emulex HBAnyware Remote Management
23400,novar-dbase,"tcp, udp",Novar Data
23401,novar-alarm,"tcp, udp",Novar Alarm
23402,novar-global,"tcp, udp",Novar Global
23456,aequus,"tcp, udp",Aequus Service
23457,aequus-alt,"tcp, udp",Aequus Service Mgmt
23546,areaguard-neo,"tcp, udp",AreaGuard Neo - WebServer
24000,med-ltp,"tcp, udp",med-ltp
24001,med-fsp-rx,"tcp, udp",med-fsp-rx
24002,med-fsp-tx,"tcp, udp",med-fsp-tx
24003,med-supp,"tcp, udp",med-supp
24004,med-ovw,"tcp, udp",med-ovw
24005,med-ci,"tcp, udp",med-ci
24006,med-net-svc,"tcp, udp",med-net-svc
24242,filesphere,"tcp, udp",fileSphere
24249,vista-4gl,"tcp, udp",Vista 4GL
24321,ild,"tcp, udp",Isolv Local Directory
24322,hid,"tcp, udp",Transport of Human Interface Device data streams
24323,vrmg-ip,"tcp, udp",Verimag mobile class protocol over TCP
24386,"intel-rci, intel_rci","tcp, udp","Intel RCI
IANA assigned this well-formed service name as a replacement for ""intel_rci""., Intel RCI"
24465,tonidods,"tcp, udp",Tonido Domain Server
24554,binkp,"tcp, udp",BINKP
24577,"bilobit, bilobit-update","tcp, udp","bilobit Service, bilobit Service Update"
24666,sdtvwcam,"tcp, udp",Service used by SmarDTV to communicate between a CAM and a second screen application
24676,canditv,"tcp, udp",Canditv Message Service
24677,flashfiler,"tcp, udp",FlashFiler
24678,proactivate,"tcp, udp",Turbopower Proactivate
24680,tcc-http,"tcp, udp",TCC User HTTP Service
24754,cslg,"tcp, udp",Citrix StorageLink Gateway
